State	Department	Total Budget	Category	
TAS	House of assembly	3115000	Government Administration
TAS	Attorney General and Minister for Justice	2290000	Police/Justice
TAS	Legislative Council	3724000	Government Administration
TAS	Legislature General	6971000	Government Administration
TAS	Office of the director of public prosecutions	5885000	Police/Justice
TAS	Office of the Governer	3433000	Government Administration
TAS	Office of the ombudsman	2109000	Legal System
TAS	Tasmanian Audit Office	1853000	Government Administration
TAS	Department of Education	1264345000	Education
TAS	Finance General	244701000	Finance
TAS	Department of Health	872840000	Health
TAS	Department of Human Services	405663000	Welfare
TAS	Department of Justice	132197000	Police/Justice
TAS	Minister and Parliamentary Support	18438000	Government Administration
TAS	Fire and Emergency Management	11446000	Emergency Services
TAS	Police	201153000	Police/Justice
TAS	Premier and Cabinet	67089000	Government Administration
TAS	Racing	34073000	Recreation and Culture
TAS	Primary Industries and Water	60834000	Agriculture
TAS	Environment Parks and Heritage	78822000	Environment
TAS	Infrastructure	272369000	Infrastructure
TAS	Energy	3271000	Energy
TAS	State Growth	164818000	Business
TAS	Tourism (State Growth)	10870000	Tourism
TAS	Arts	22006000	Arts
TAS	Forestry	4467000	Resource Extraction
TAS	Mining	7196000	Resource Extraction
TAS	Tourism (Tourism Tas)	26800000	Tourism
TAS	Treasurer	42849000	Finance
VIC	General public services(a)	2295832549	Public services
VIC	Public order and safety	6645000000	Police/Justice
VIC	Education	14801000000	Education
VIC	Health	16734000000	Health
VIC	Social security and welfare	4244000000	Welfare
VIC	Housing and community amenities	3226000000	Welfare
VIC	Recreation and Culture	743000000	Recreation and Culture
VIC	Fuel and Energy	201000000	Energy
VIC	"Agriculture, forestry, fishing and hunting"	388000000	Agriculture
VIC	Transport	6313000000	Transport
VIC	Other economic affairs	993000000	Finance
VIC	Other economic affairs	1515000000	Finance
NSW	Public Transport	7203528000	Education
NSW	The Legislature 	145300000	Government Administration
NSW	Department of Education	12756100000	Education
NSW	Board of Studies	130700000	Education
NSW	Department of Family and Community Services	6061700000	Welfare
NSW	Home Care Service of New South Wales	165800000	Welfare
NSW	Multicultural NSW	26300000	Welfare
NSW	Aboriginal Housing Office	109000000	Welfare	Indigenous Affairs
NSW	Home Purchase Assistance Fund	17500000	Welfare
NSW	Office of the Children's Guardian	27000000	Welfare
NSW	"Department of Finance, Services and Innovation"	496400000	Finance
NSW	Service NSW etc	1958000000	Public services
NSW	Government Property NSW	722300000	Government Administration
NSW	Motor Accidents Authority of New South Wales	32900000	Transport	Roads
NSW	New South Wales Government Telecommunications Authority	42400000	Government Administration
NSW	NSW Self Insurance Corporation	1977600000	Government Administration
NSW	Rental Bond Board	56700000	Business
NSW	State Insurance Regulatory Authority	327300000	Business
NSW	State Records Authority of New South Wales	25700000	Government Administration
NSW	WorkCover Authority	55500000	Workplace Legislation
NSW	Workers' Compensation (Dust Diseases) Authority	39600000	Workplace Legislation
NSW	Health	19680000000	Health
NSW	Health Care Complaints Commission	13300000	Health
NSW	Mental Health Commission of New South Wales	10400000	Health
NSW	"Department of Industry, Skills and Regional Development"	3040000000	Business
NSW	New South Wales Rural Assistance Authority	32600000	Business
NSW	TAFE Commission	1723300000	Education
NSW	Local Land Services	163700000	Agriculture
NSW	NSW Food Authority	21600000	Public services
NSW	Lands Administration Ministerial Corporation	14500000	Business
NSW	Water Administration Ministerial Corporation 	75500000	Environment
NSW	Justice Cluster	6216000000	Police/Justice
NSW	Emergency Management	110600000	Emergency Services
NSW	Liquor and Gaming	83800000	Liquor/Gambling
NSW	Arts and Culture	77200000	Recreation and Culture
NSW	Crown Solicitor's Office	49000000	Police/Justice
NSW	Fire and Rescue NSW	693600000	Emergency Services
NSW	Independent Liquor and Gaming Authority	11900000	Liquor/Gambling
NSW	Information and Privacy Commission	5600000	Public services
NSW	Legal Aid Commission of New South Wales	278800000	Public services
NSW	New South Wales Crime Commission	24000000	Police/Justice
NSW	NSW Police Force	3430200000	Police/Justice
NSW	Office of the NSW Rural Fire Service	353000000	Emergency Services
NSW	Office of the NSW State Emergency Service	92800000	Emergency Services
NSW	Art Gallery of New South Wales	43100000	Recreation and Culture
NSW	Australian Museum	45400000	Recreation and Culture
NSW	Museum of Applied Arts and Sciences	47100000	Recreation and Culture
NSW	NSW Trustee and Guardian	93500000	Public services
NSW	State Library of New South Wales	92100000	Recreation and Culture
NSW	Judicial Commission of New South Wales	6000000	Police/Justice
NSW	Office of the Director of Public Prosecutions	127000000	Police/Justice
NSW	Police Integrity Commission	18100000	Police/Justice
NSW	Department of Planning and Environment	1614000000	Environment
NSW	Environment Protection Authority	159700000	Environment
NSW	Environmental Trust	67200000	Environment
NSW	Office of Environment and Heritage	1199700000	Environment
NSW	Office of Local Government	497800000	Public services
NSW	Royal Botanic Gardens and Domain Trust	53800000	Environment
NSW	Centennial Park and Moore Park Trust	28500000	Environment
NSW	Historic Houses Trust of New South Wales	29300000	Recreation and Culture
NSW	Hunter Development Corporation	58300000	Business
NSW	Minister Administering the Environmental Planning and Assessment Act	101200000	Environment
NSW	UrbanGrowth NSW Development Corporation	19700000	Environment
NSW	Western Sydney Parklands Trust	9700000	Environment
NSW	Department of Premier and Cabinet	498300000	Government Administration
NSW	Infrastructure NSW	24000000	Infrastructure
NSW	Natural Resources Commission	5700000	Resource Extraction
NSW	Office of Sport	180400000	Recreation and Culture
NSW	Parliamentary Counsel's Office	9500000	Government Administration
NSW	Sydney Olympic Park Authority	140900000	Recreation and Culture
NSW	Barangaroo Delivery Authority	62500000	Infrastructure
